#      x          Cp
     1.00000    0.43034
     0.99209    0.20996
     0.98130    0.12896
     0.96880    0.05386
     0.95495   -0.01022
     0.94021   -0.06821
     0.92497   -0.12110
     0.90946   -0.16997
     0.89380   -0.21558
     0.87805   -0.25858
     0.86224   -0.29946
     0.84640   -0.33859
     0.83052   -0.37627
     0.81461   -0.41274
     0.79868   -0.44820
     0.78273   -0.48279
     0.76675   -0.51665
     0.75075   -0.54989
     0.73473   -0.58261
     0.71869   -0.61491
     0.70264   -0.64684
     0.68657   -0.67850
     0.67049   -0.70994
     0.65440   -0.74123
     0.63830   -0.77242
     0.62219   -0.80359
     0.60608   -0.83479
     0.58996   -0.86608
     0.57384   -0.89755
     0.55772   -0.92925
     0.54161   -0.96129
     0.52549   -0.99378
     0.50939   -1.02683
     0.49330   -1.06063
     0.47722   -1.09540
     0.46116   -1.13148
     0.44514   -1.16933
     0.42918   -1.20998
     0.41332   -1.25422
     0.39765   -1.31525
     0.38224   -1.37044
     0.36699   -1.41095
     0.35183   -1.44717
     0.33673   -1.47922
     0.32169   -1.50781
     0.30672   -1.53322
     0.29180   -1.55564
     0.27695   -1.57516
     0.26218   -1.59186
     0.24749   -1.60578
     0.23289   -1.61698
     0.21840   -1.62548
     0.20402   -1.63134
     0.18977   -1.63463
     0.17567   -1.63542
     0.16175   -1.63382
     0.14802   -1.62998
     0.13452   -1.62410
     0.12131   -1.61642
     0.10845   -1.60729
     0.09602   -1.59711
     0.08415   -1.58642
     0.07298   -1.57582
     0.06266   -1.56594
     0.05332   -1.55731
     0.04506   -1.55021
     0.03787   -1.54461
     0.03169   -1.54014
     0.02641   -1.53618
     0.02191   -1.53190
     0.01805   -1.52621
     0.01475   -1.51783
     0.01192   -1.50516
     0.00948   -1.48610
     0.00739   -1.45792
     0.00561   -1.41710
     0.00409   -1.35910
     0.00283   -1.27826
     0.00181   -1.16802
     0.00102   -1.02168
     0.00046   -0.83450
     0.00012   -0.60578
     0.00000   -0.34679
     0.00010   -0.06796
     0.00045    0.23213
     0.00109    0.52064
     0.00203    0.75629
     0.00329    0.91192
     0.00484    0.98746
     0.00668    1.00150
     0.00880    0.97643
     0.01119    0.93008
     0.01388    0.87418
     0.01689    0.81563
     0.02027    0.75818
     0.02406    0.70374
     0.02837    0.65317
     0.03328    0.60682
     0.03893    0.56479
     0.04549    0.52712
     0.05314    0.49391
     0.06208    0.46530
     0.07245    0.44148
     0.08429    0.42254
     0.09749    0.40830
     0.11185    0.39824
     0.12709    0.39165
     0.14299    0.38774
     0.15936    0.38581
     0.17606    0.38528
     0.19299    0.38569
     0.21003    0.38667
     0.22705    0.38796
     0.24400    0.38933
     0.26087    0.39062
     0.27765    0.39169
     0.29437    0.39243
     0.31102    0.39272
     0.32761    0.39245
     0.34417    0.39146
     0.36070    0.38954
     0.37724    0.38638
     0.39386    0.38047
     0.41072    0.36988
     0.42777    0.36454
     0.44489    0.36061
     0.46202    0.35754
     0.47913    0.35501
     0.49623    0.35285
     0.51331    0.35094
     0.53037    0.34920
     0.54741    0.34757
     0.56442    0.34599
     0.58142    0.34443
     0.59841    0.34286
     0.61538    0.34124
     0.63234    0.33957
     0.64928    0.33782
     0.66622    0.33597
     0.68315    0.33402
     0.70007    0.33195
     0.71698    0.32976
     0.73389    0.32744
     0.75079    0.32499
     0.76770    0.32240
     0.78460    0.31969
     0.80149    0.31686
     0.81839    0.31393
     0.83529    0.31091
     0.85218    0.30785
     0.86906    0.30480
     0.88592    0.30185
     0.90273    0.29913
     0.91943    0.29688
     0.93586    0.29552
     0.95177    0.29576
     0.96671    0.29896
     0.98013    0.30759
     0.99163    0.32604
     1.00000    0.43034
